Time (ms),Membrane Potential (mV)
45.55694618272841,-56.689479003471845
45.8072590738423,-55.71819834010129
46.057571964956196,-54.608653010966776
46.30788485607009,-53.32195762322577
46.55819774718398,-51.80303191890385
46.808510638297875,-49.9715436521122
47.05882352941177,-47.70617409723033
47.30913642052566,-44.815845633234844
47.559449311639554,-40.98377053374614
47.80976220275345,-35.650169528017095
48.06007509386734,-27.74235164235566
48.310387984981226,-14.974693413037844
48.56070087609512,30.0
48.81101376720901,-65.0
49.061326658322905,-64.87442225358959
49.3116395494368,-64.71435514045602
49.56195244055069,-64.52219483057699
49.812265331664584,-64.29992320989987
50.06257822277848,-64.04909130193101
50.31289111389237,-63.770808253756805
50.56320400500626,-63.46573079913313
50.813516896120156,-63.1340487085676
51.06382978723404,-62.77546202988878
51.314142678347935,-62.389145837199266
51.56445556946183,-61.973697658802166
51.81476846057572,-61.527061625317735
52.065081351689614,-61.04642147279253
52.31539424280351,-60.52805153024029
52.5657071339174,-59.96711018445089
52.81602002503129,-59.35735316219832
53.066332916145186,-58.69073281177275
53.31664580725908,-57.95683184772669
53.56695869837297,-57.14205125915398
53.817271589486865,-56.22842417277394
54.06758448060075,-55.19184530933095
54.31789737171464,-53.99936010515788
54.568210262828536,-52.60488990681646
54.81852315394243,-50.94225629230227
55.06883604505632,-48.91333424626231
55.319148936170215,-46.366964104195155
55.56946182728411,-43.059251067180504
55.819774718398,-38.5735872206212
56.070087609511894,-32.145512632421685
56.32040050062579,-22.236650369186574
56.57071339173968,-5.346617344458174
56.821026282853566,30.0
57.07133917396746,-65.0
57.32165206508135,-64.92478157930998
57.571964956195245,-64.81139796206361
57.82227784730914,-64.66265561853069
58.07259073842303,-64.48099925814547
58.322903629536924,-64.2684764300515
58.57321652065082,-64.02671532584328
58.82352941176471,-63.75690976845661
59.0738423028786,-63.459806116126984
59.324155193992496,-63.13568740620839
59.57446808510639,-62.784350392468895
59.824780976220275,-62.40507110352268
60.07509386733417,-61.996554081526206
60.32540675844806,-61.55685943035199
60.575719649561954,-61.08330002499413
60.82603254067585,-60.57229840509808
61.07634543178974,-60.019188494765345
61.32665832290363,-59.41794052796963
61.576971214017526,-58.76077701964796
61.82728410513142,-58.037630921650475
62.07759699624531,-57.235370064757994
62.327909887359205,-56.33666710055155
62.5782227784731,-55.31831747503679
62.828535669586984,-54.14867267357747
63.07884856070088,-52.7836084121016
63.32916145181477,-51.159975275529085
63.57947434292866,-49.184534937861116
63.829787234042556,-46.71438960865823
64.08010012515645,-43.52041548549587
64.33041301627034,-39.214272525385255
64.58072590738423,-33.0903842060465
64.83103879849813,-23.747077506769678
65.08135168961202,-8.050186613246646
65.33166458072591,30.0
65.5819774718398,-65.0
65.8322903629537,-64.91222738021774
66.08260325406759,-64.78721066659132
66.33291614518149,-64.62766195935184
66.58322903629538,-64.43591649550274
66.83354192740927,-64.21390258180449
67.08385481852315,-63.96312278333637
67.33416770963704,-63.68464057389569
67.58448060075094,-63.37906738404006
67.83479349186483,-63.04654551812749
68.08510638297872,-62.68672264938923
68.33541927409262,-62.298713459026835
68.58573216520651,-61.881043369537
68.8360450563204,-61.43156810100456
69.0863579474343,-60.94736073902194
69.33667083854819,-60.424554794762535
69.58698372966208,-59.85812678476503
69.83729662077597,-59.24159420046969
70.08760951188987,-58.56659275608907
70.33792240300376,-57.82227771105839
70.58823529411765,-56.994462945411655
70.83854818523155,-56.064359405844314
71.08886107634544,-55.006684825542536
71.33917396745933,-53.78675676856061
71.58948685857322,-52.35588526083067
71.83979974968712,-50.64380988061863
72.09011264080101,-48.54576645932065
72.3404255319149,-45.899275654558586
72.5907384230288,-42.44001310255936
72.84105131414267,-37.711834252272
73.09136420525657,-30.866770720168795
73.34167709637046,-20.169062857933273
73.59198998748435,30.0
73.84230287859825,-65.0
74.09261576971214,-64.84800324674515
74.34292866082603,-64.66342521985442
74.59324155193993,-64.44841296541406
74.84355444305382,-64.20468008962052
75.09386733416771,-63.933497230002544
75.3441802252816,-63.63568430720625
75.5944931163955,-63.31159996199315
75.84480600750939,-62.961124018788226
76.09511889862328,-62.583628891962405
76.34543178973718,-62.177935495134896
76.59574468085107,-61.742248331127996
76.84605757196496,-61.27406287500219
77.09637046307886,-60.770035855539994
77.34668335419275,-60.2258051614453
77.59699624530664,-59.63574013367236
77.84730913642053,-58.99259376041953
78.09762202753443,-58.28701373570954
78.34793491864832,-57.5068459474479
78.59824780976221,-56.63612543211322
78.84856070087609,-55.653584599825535
79.09887359198999,-54.53039458647956
79.34918648310388,-53.22664942560484
79.59949937421777,-51.68571454362287
79.84981226533166,-49.82479607362579
80.10012515644556,-47.51849848328449
80.35043804755945,-44.56862870776412
80.60075093867334,-40.645171819357095
80.85106382978724,-35.16177516431652
81.10137672090113,-26.98686085856683
81.35168961201502,-13.68653991208977
81.60200250312892,30.0
81.85231539424281,-65.0
82.1026282853567,-64.87840865117299
82.3529411764706,-64.7220388089469
82.60325406758449,-64.5333222074696
82.85356695869838,-64.31427968109169
83.10387984981227,-64.06650334969572
83.35419274092617,-63.79114495445912
83.60450563204006,-63.48890518124198
83.85481852315395,-63.16001942569822
84.10513141426785,-62.80423577735402
84.35544430538174,-62.420780951866504
84.60575719649562,-62.00830939994877
84.85607008760951,-61.56482975183883
85.1063829787234,-61.087600930801486
85.3566958698373,-60.57298737987575
85.60700876095119,-60.01625838370253
85.85732165206508,-59.41130958601517
86.10763454317897,-58.75027408161709
86.35794743429287,-58.02297346583258
86.60826032540676,-57.21613169047845
86.85857321652065,-56.312228823781695
87.10888610763455,-55.28779356989246
87.35919899874844,-54.11079518867595
87.60951188986233,-52.73654218687129
87.85982478097623,-51.1010113157603
88.11013767209012,-49.1095609160295
88.36045056320401,-46.61692961801042
88.6107634543179,-43.389783027604295
88.8610763454318,-39.03175377901794
89.11138923654569,-32.82061855511275
89.36170212765958,-23.316273851784473
89.61201501877348,-7.282370953035411
89.86232790988737,30.0
90.11264080100126,-65.0
90.36295369211514,-64.91452219796365
90.61326658322903,-64.79163216653362
90.86357947434293,-64.63405964835844
91.11389236545682,-64.4441601824722
91.36420525657071,-64.2238840937034
91.6145181476846,-63.97475709168782
91.8648310387985,-63.69786664440376
92.11514392991239,-63.393849024634406
92.36545682102629,-63.06287247511869
92.61576971214018,-62.70461219309629
92.86608260325407,-62.31821271391157
93.11639549436796,-61.90223268524951
93.36670838548186,-61.454565838305264
93.61702127659575,-60.97232997199888
93.86733416770964,-60.45171263062552
94.11764705882354,-59.88775731206202
94.36795994993743,-59.27406655825598
94.61827284105132,-58.602386576591066
94.86858573216522,-57.86201941134956
95.11889862327911,-57.03897835899516
95.369211514393,-56.114751658472
95.6195244055069,-55.06445232297768
95.86983729662079,-53.853976953459025
96.12015018773468,-52.43551010781984
96.37046307884856,-50.74015911081467
96.62077596996245,-48.66538750241084
96.87108886107634,-46.05252256869889
97.12140175219024,-42.64413078926503
97.37171464330413,-37.99745549003631
97.62202753441802,-31.292949070783887
97.87234042553192,-20.862473918425174
98.12265331664581,30.0
98.3729662077597,-65.0
98.6232790988736,-64.84452191733774
98.87359198998749,-64.65671295653327
99.12390488110138,-64.43868559403701
99.37421777221527,-64.19211676115677
99.62453066332917,-63.91823909363925
99.87484355444306,-63.617833477141495
100.12515644555695,-63.29121835609853
100.37546933667085,-62.93823168527048
100.62578222778474,-62.55820144641676
100.87609511889863,-62.14990025819141
101.12640801001253,-61.71147867680308
101.37672090112642,-61.24037015669021
101.62703379224031,-60.73315804511466
101.8773466833542,-60.18539097528325
102.12765957446808,-59.591326857580256
102.37797246558198,-58.94357610524508
102.62828535669587,-58.23259965358644
102.87859824780976,-57.44599305738405
103.12891113892366,-56.5674478954962
103.37922403003755,-55.5752137418234
103.62953692115144,-54.43976493601708
103.87984981226533,-53.120160421346014
104.13016270337923,-51.558176953703786
104.38047559449312,-49.668489014043864
104.63078848560701,-47.321485352726654
104.8811013767209,-44.31157542598135
105.1314142678348,-40.29491224811667
105.38172715894869,-34.65716264745419
105.63204005006259,-26.204207468266112
105.88235294117648,-12.342901680624841
106.13266583229037,30.0
106.38297872340426,-65.0
106.63329161451816,-64.88527039763675
106.88360450563205,-64.73526388663416
107.13391739674594,-64.55247217396163
107.38423028785984,-64.33898219926695
107.63454317897373,-64.09645608817263
107.88485607008761,-63.82611827310185
108.1351689612015,-63.52874448895933
108.3854818523154,-63.20464799866734
108.63579474342929,-62.853658775430944
108.88610763454318,-62.47509138330249
109.13642052565707,-62.06769687477813
109.38673341677097,-61.62959305409905
109.63704630788486,-61.158165763751484
109.88735919899875,-60.64993115362116
110.13767209011264,-60.100344715572284
110.38798498122654,-59.50353642837112
110.63829787234043,-58.85194134656433
110.88861076345432,-58.13577914275513
111.13892365456822,-57.342310566854195
111.38923654568211,-56.454756509519896
111.639549436796,-55.45069338963412
111.8898623279099,-54.29961211161622
112.14017521902379,-52.95909743955996
112.39048811013768,-51.36864742730699
112.64080100125157,-49.43928320384607
112.89111389236547,-47.03527489284575
113.14142678347936,-43.9402306107032
113.39173967459325,-39.789968239897895
113.64205256570713,-33.92867835254369
113.89236545682103,-25.068560585061668
114.14267834793492,-10.374594948737483
114.39299123904881,30.0
114.6433041301627,-65.0
114.8936170212766,-64.89827142628049
115.14392991239049,-64.76031900856283
115.39424280350438,-64.58874377368316
115.64455569461828,-64.38575467509338
115.89486858573217,-64.15314396018785
116.14518147684606,-63.892271659552726
116.39549436795996,-63.6040536610361
116.64580725907385,-63.28894852668991
116.89612015018774,-62.94693866709128
117.14643304130163,-62.577501614436066
117.39674593241553,-62.17956685293933
117.64705882352942,-61.751452872821964
117.89737171464331,-61.29077766029221
118.1476846057572,-60.79433347263185
118.3979974968711,-60.25791306656356
118.64831038798499,-59.67606887408552
118.89862327909889,-59.04177782476375
119.14893617021278,-58.34597068273755
119.39924906132667,-57.57686258227393
119.64956195244055,-56.71898500642493
119.89987484355444,-55.7517579480146
120.15018773466834,-54.64733393685507
120.40050062578223,-53.36725270077062
120.65081351689612,-51.857083647769265
120.90112640801001,-50.0375245344191
121.15143929912391,-47.788961364726575
121.4017521902378,-44.92328591494277
121.6520650813517,-41.12921278227211
121.90237797246559,-35.85796796824205
122.15269086357948,-28.061104377250405
122.40300375469337,-15.513556339043696
122.65331664580727,30.0
122.90362953692116,-65.0
123.15394242803505,-64.8716552541089
123.40425531914894,-64.70902164042165
123.65456821026284,-64.51447033121278
